Palavra,Importancia_Total
podcast,3.793044150519968
gustavo,3.782464868177823
vive,3.7765982765059007
encontrar,3.7743731771842883
distancia,3.7690949732719785
casada,3.7418297195367023
buscar,3.7214696826050817
esquerda,3.6964585477623233
crianca,3.6922353788526325
conhecer,3.675577797550883
duvido,3.6644930217244625
crista,3.6630701283718854
foto,3.649988749362092
pedir,3.636896557355617
mentira,3.627340521461953
comecou,3.6259694744030715
graca,3.6229917662350117
ganhar,3.6225486845153556
dor,3.612571345865652
segue,3.610690190202065
olho,3.610080339795794
maluco,3.603847318881896
basta,3.600795848076995
alto,3.596834947320987
alguns,3.596253331501441
tempos,3.5900809763348756
virou,3.589611975496633
boas,3.5871203898738124
prova,3.557806747935465
pessoal,3.540422058978703
chama,3.522363152301355
parar,3.4998549790019724
conheco,3.4983623376888002
assisti,3.4875070866822004
prazer,3.4827884618341667
sinto,3.480225653804745
solteira,3.4751274196606485
saco,3.473198524517116
besta,3.4723471625704367
sorte,3.466389511214025
plenamente,3.4372832304166656
relacionar,3.4032386985519176
tirar,3.3971357816163414
necessidade,3.389756867714061
fico,3.3892524575136482
veia,3.3674152679806326
serem,3.3665531802829674
chifres,3.345057939514088
bens,3.3291499989605926
maria,3.3278818052219874
cuide,3.325211052190608
arrumar,3.3089964777815593
epoca,3.30799991647568
agua,3.301644651597435
nojo,3.2986451746826466
doida,3.2937564723733086
aceita,3.2926048361376825
divorcio,3.2914162411482772
iria,3.2865367419012124
amo,3.2863216125580954
cabelo,3.2860402439394862
pill,3.2733539612488776
amante,3.259209052030843
inocente,3.244699628582845
saude,3.241211281918574
sucesso,3.2277029133206274
absurdo,3.2217777012022997
presente,3.206925672322151
acima,3.2037339916057093
vira,3.1970028071049295
gracas,3.1924443508159115
comportamento,3.1775036839504187
ganhou,3.1721997290122816
90,3.1711461833645482
escolha,3.1669259809306896
separar,3.154407336744122
papel,3.1523879674071194
empresa,3.1411325498420766
coracao,3.1311287663066154
cria,3.1264750520841953
mostrar,3.1246278338222524
cristao,3.1181105150435684
pede,3.1179504458837357
corpo,3.1139310078628473
99,3.111291354446906
bandido,3.108531655701992
cheio,3.105625402532337
pergunta,3.1036141509370987
costas,3.080066053216701
rede,3.0750795435037905
guerra,3.072334913843734
sexual,3.0720359760634963
conselho,3.0719605284126303
sozinha,3.0663513320378444
natureza,3.0644242007738227
porra,3.0462783974250187
casado,3.043451177793697
comida,3.037562019204458
rsrs,3.0313720179753103
base,3.0259921073959393
gado,3.025347095885279
odio,3.0231453148747693
reais,3.017761498497001
brincadeira,3.0057390452669095
visao,2.998959409682904
conhece,2.9922193436470073
otimo,2.9844782293174026
esperto,2.9841093968726042
conhecimento,2.9837752057288167
burro,2.972822756971847
procurar,2.9685833773604453
dignidade,2.967721206692384
irmaos,2.956907602962703
maes,2.932042828411646
brasileiros,2.929254139205992
cuida,2.9234723201425172
casei,2.911009266436067
cristo,2.9057832413722204
voz,2.9024849062703173
bons,2.8936480862880947
carne,2.89041098522482
amem,2.879111027096644
qualidade,2.872045772918853
relacionamentos,2.870121188513696
sabedoria,2.866584484043584
resposta,2.866477445043384
amizade,2.8648241445785128
come,2.8510355434611103
jogo,2.842714215518293
morar,2.829827032982808
faca,2.829003702009202
casem,2.82367956974154
liberdade,2.8202385502550498
melhorar,2.812233630741558
perdido,2.8081413306258174
tras,2.806227104760213
24,2.7923723638521385
bunda,2.787489687968148
reclamar,2.787374660825552
quantidade,2.7855040533314295
mamae,2.7808748159392245
fotos,2.77369453056911
chave,2.773083442614694
perder,2.7707163206395187
miqueias,2.7671964442034667
solteiros,2.7572055256766173
bebida,2.756876315593506
merecem,2.7502737623944133
lados,2.7463073768023536
erro,2.744151394176634
minimo,2.7316209782603753
ridicula,2.7007218399562927
escolhas,2.700007850502454
ze,2.6963431685267887
interesseira,2.6919605124246915
vivem,2.690905248500899
engracado,2.682510504893485
premio,2.6801176532436837
maravilhoso,2.6799058363788264
atitude,2.677826883058124
maos,2.6639095255882568
amam,2.662000601123406
casos,2.6431466933660106
demonio,2.639632993647543
bola,2.6351608027289584
santo,2.6332777489519277
beneficios,2.626437016369111
procura,2.6220363537562714
irma,2.61822787891894
nela,2.618172003215373
humanos,2.6174355412977888
tipos,2.616193311472629
emprego,2.609477172197712
raiz,2.60575325303593
leva,2.6010634097598366
sul,2.594561847817514
emocao,2.5906020466291655
senao,2.58961434318965
genero,2.5885834200056057
pt,2.5867821391830175
separacao,2.5776255701559037
sido,2.5744879476302223
excelente,2.5717610227539645
chuva,2.5658032696783746
macho,2.5619216733508616
consequencias,2.557915988399269
sustentar,2.5480889610815693
felizes,2.5459007581487825
prostituicao,2.5442941300937516
msol,2.5401422729998706
justo,2.536042495719557
hipocrisia,2.5312966209922947
imagem,2.530109822687356
novinhas,2.528130400401598
levou,2.526872519860918
coitado,2.5107271927645725
perigo,2.5063249654804673
perdao,2.5050767206620947
capitalismo,2.5043594192885994
trair,2.5009077804669064
cartao,2.4993668543215284
sinal,2.498464936780587
companhia,2.4898518593643035
ruins,2.489729509720122
perdeu,2.4848385347860877
piriguete,2.4826185831331644
inteiro,2.4818169134917603
louca,2.4739660948378166
completo,2.4702543531102035
fortes,2.4653683636761943
qdo,2.4639270089499337
menino,2.462493517176766
esqueceu,2.462363134333793
vice,2.4572823765015563
mente,2.444890256687872
acorda,2.4410784432217856
dizia,2.4406548602294604
tentou,2.4380537034160104
fiquem,2.4341280548477586
ovo,2.4298098119220604
masculino,2.4233653003553606
