Palavra,Importancia_Total
abraco,1.8468457388781592
nota,1.8455239183986272
baixo,1.8434770527894064
velha,1.8430043853960416
use,1.8417567078618342
carencia,1.839656872874055
humano,1.8352785878097997
justo,1.8346474142978693
qi,1.8341229651817141
poe,1.8336078815431445
negocio,1.8335921272430586
aparencia,1.829916646057335
bandidos,1.8296095162907615
deixo,1.8284662050395364
acreditar,1.8281399950966533
existem,1.8229448874728127
antigamente,1.8195299454496567
solitude,1.8191354098616483
bandido,1.8170933192818128
feita,1.8148427504025382
chance,1.8146502838515972
juiz,1.8124770563705888
rapido,1.8097683477140298
rio,1.8086560917906995
comeca,1.8083384135207972
quebra,1.80306923790029
quatro,1.8029672895434732
analise,1.800794707631125
ricos,1.8005265058653066
perdao,1.7997680683828101
piores,1.7994670245420905
coragem,1.7972513655936906
feminina,1.7958996238653944
terem,1.7929203096746722
dono,1.7910452990143502
balada,1.7906282398614122
neste,1.7900125355663017
piriguete,1.789807353403721
80,1.7888249424975777
conseguiram,1.78498970299694
empoderadas,1.7849333851132467
bonitas,1.7819733894082197
14,1.7778595012339529
12,1.7776289827290355
acorda,1.7771316311591792
sentar,1.776365036950717
paciencia,1.774085343302072
pague,1.7728243513744009
bebe,1.772712199495295
chamado,1.7659690160216233
ambiente,1.765020244358713
musicas,1.7638263809974242
vitima,1.7617878828544562
limpa,1.7601866151293928
aluguel,1.7596723133798187
normal,1.7564949447896885
solucao,1.756306717268714
900,1.7560865745970389
sociais,1.7552454246513505
noticia,1.7549067986929514
professor,1.7535917512717556
regras,1.7513443581998325
aceitar,1.748261617482878
beneficios,1.7463691976328803
contar,1.7447232167330822
aprende,1.7431898066194313
senso,1.7429481674273632
perfil,1.7411253059586964
gratidao,1.7395376836842043
livre,1.737363413603271
virgem,1.7359018116278055
correr,1.7333954466994754
preciso,1.7332882954175963
kkkkkkkkk,1.7280301999427161
esquece,1.7273648166939581
acabar,1.723065024336909
abre,1.7221924828504647
saindo,1.7219236492706052
completo,1.7216690992576624
armadilha,1.716827784122846
engole,1.7163659641435522
regua,1.7154949052732462
pensou,1.7143214032721756
tentou,1.714271643165266
besteira,1.7127301867928821
gostava,1.712522276535649
coitada,1.7115062805656276
biblia,1.711073983001953
aprendeu,1.7105492620731844
vivo,1.7095093255494997
virar,1.7094514039986197
dado,1.7089459847032842
respeita,1.7075419316176998
impostos,1.7058363127745266
rua,1.7031773689113379
procurando,1.7027077660003518
lixo,1.6981316180598647
par,1.6957992525056866
caramba,1.6950660177125616
encontro,1.6929231362779773
resolver,1.6927207938992737
geralmente,1.6907212425903166
pedreiro,1.6905913943898336
sinal,1.6896003905126329
opcao,1.6868115151504022
anda,1.6850958717754625
bela,1.6848805486217084
cai,1.6826820209832052
daniel,1.6823296750994583
apos,1.6821916710988631
piada,1.681399857849664
existia,1.6807198137058044
vdd,1.6782959426582356
oh,1.6777435958654725
papai,1.6770566786058985
modo,1.6747756469914086
fizeram,1.6741854743723346
nesses,1.670945933965722
entrada,1.66824822400598
entende,1.6674462289173302
caiu,1.662692225502504
economia,1.6610105397431216
satanas,1.659734612713837
lascar,1.6588621793289038
verdadeira,1.6534021859685901
inclusive,1.651964093116933
perde,1.651343773017363
alexandre,1.6507911922444216
penso,1.6475699292373505
arthur,1.646645675333252
namoro,1.6458381254149534
gostando,1.6435723618942752
bolha,1.6424257149173316
porta,1.641830832506117
oi,1.6410878798347426
ouviu,1.6410489388919596
exterior,1.6397206524698344
pulou,1.6392771277359102
parentes,1.6392409566393171
vendo,1.6371563943933891
existir,1.636854881274389
certinho,1.6343813988299432
arruma,1.6317330330879924
mental,1.6305771854211164
trair,1.6297747040862256
salvador,1.628552942499934
errada,1.6260721614668059
trocar,1.6242946329009023
regra,1.6171266997297185
fome,1.6153222384129293
pes,1.6148759283628684
zero,1.6147382398948218
significa,1.6139371175383075
namorado,1.6129482637219925
pensa,1.6123635702303312
show,1.612275542661125
puta,1.607750452131273
mensagem,1.6013162305454738
fe,1.6013103405868712
00,1.600308954475117
conheci,1.599932119443951
cabe,1.5996636717692883
raiva,1.5992127790407804
cresce,1.5991242455387877
ganha,1.59910663016219
direto,1.5990756312471077
fugir,1.5988586502161852
decepcao,1.597249808426651
aparecer,1.5966964161744825
ganhando,1.5962318030343932
ferra,1.5958410612849696
25,1.595822172089354
